Federal_District,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Central,Belgorod,2025-09-01,24.7,28.57,8.06,23.91,27.06,8.54,0.79,9.53,39.68,0.85,0.87,1.67,78.0,Moderate,4.2,84.4,0.223,4.36,157.0,59.4
Central,Belgorod,2025-10-01,28.11,,19.67,23.84,,,1.04,10.04,57.53,1.67,1.67,1.74,85.0,Moderate,15.8,82.8,0.03,3.57,155.39,59.4
Central,Belgorod,2025-11-01,33.45,41.03,21.18,25.02,27.74,5.62,1.08,8.41,50.68,1.82,5.24,1.72,96.0,Moderate,16.4,88.6,0.231,3.63,156.69,59.4
Central,Belgorod,2025-12-01,20.7,76.79,32.09,39.46,43.8,12.06,0.8,19.82,92.74,2.18,11.09,2.49,69.0,Moderate,8.6,90.8,0.096,0.92,155.98,59.3
Central,Bryansk,2014-01-01,20.57,60.73,19.71,53.16,25.67,6.85,1.69,,58.94,,2.42,0.23,69.0,Moderate,9.5,80.8,0.278,1.44,154.9,60.0
Central,Bryansk,2014-02-01,17.42,35.81,15.09,24.1,54.23,10.55,2.34,8.91,57.58,1.31,11.28,2.78,62.0,Moderate,3.6,74.3,0.0,3.81,155.51,60.1
Central,Bryansk,2014-03-01,12.15,51.1,17.23,39.91,43.01,9.88,0.89,12.32,75.24,2.65,2.96,2.15,51.0,Moderate,7.5,69.0,0.0,-0.11,150.24,60.0
Central,Bryansk,2014-04-01,13.28,36.09,12.2,31.16,31.71,6.46,1.11,6.13,52.63,1.18,6.78,1.25,53.0,Moderate,13.1,60.1,0.173,1.07,148.43,60.0
Central,Bryansk,2014-05-01,23.1,46.91,11.6,17.05,13.39,6.3,0.8,7.63,31.44,0.17,4.44,1.26,74.0,Moderate,11.0,62.4,0.14,-0.05,152.17,59.9
Central,Bryansk,2014-06-01,21.61,30.44,7.23,17.36,19.5,4.32,0.76,11.73,43.5,0.62,1.47,1.05,71.0,Moderate,7.5,60.7,0.082,2.62,146.09,59.9
Central,Bryansk,2014-07-01,21.5,28.9,6.45,28.5,32.75,1.07,0.44,3.79,35.61,1.03,5.38,1.3,71.0,Moderate,8.9,66.2,0.252,1.71,153.63,60.0
Central,Bryansk,2014-08-01,10.35,13.95,7.05,,29.56,4.65,1.0,7.91,55.94,0.41,4.02,0.18,43.0,Good,4.7,83.7,0.0,1.26,152.29,59.9
Central,Bryansk,2014-09-01,16.5,42.3,14.44,25.69,24.56,2.98,1.34,18.75,55.99,1.05,5.26,0.95,60.0,Moderate,9.1,80.0,0.081,2.75,151.28,60.1
Central,Bryansk,2014-10-01,29.35,57.73,24.5,41.8,53.13,3.94,1.38,13.0,73.9,1.21,4.51,0.55,87.0,Moderate,8.5,76.0,0.085,3.64,149.0,60.0
Central,Bryansk,2014-11-01,24.01,43.02,17.14,24.48,29.25,2.63,1.47,,97.67,3.2,5.93,1.52,76.0,Moderate,3.9,85.1,0.111,4.01,155.44,59.9
Central,Bryansk,2014-12-01,31.58,39.08,19.06,,45.77,,1.87,19.52,57.47,0.76,4.91,2.37,92.0,Moderate,12.2,90.1,0.176,2.92,146.76,59.9
Central,Bryansk,2015-01-01,25.05,43.3,19.19,65.28,56.59,14.21,0.49,8.58,108.65,3.54,7.72,2.74,78.0,Moderate,3.9,80.3,0.102,3.18,147.65,59.8
Central,Bryansk,2015-02-01,34.58,,,56.73,42.46,9.6,1.43,17.6,96.1,2.61,5.68,0.69,98.0,Moderate,10.6,81.3,0.115,0.87,155.3,59.9
Central,Bryansk,2015-03-01,33.75,50.61,14.0,40.05,33.08,8.91,0.68,6.19,70.87,1.86,8.15,1.27,97.0,Moderate,10.3,79.0,0.0,0.47,144.2,59.9
Central,Bryansk,2015-04-01,18.91,35.92,17.52,22.12,38.99,5.67,0.59,10.83,48.35,1.32,5.1,0.69,65.0,Moderate,6.3,65.1,0.142,4.42,150.97,59.7
Central,Bryansk,2015-05-01,12.23,39.0,20.24,26.64,14.0,6.77,1.1,9.92,64.12,1.54,2.0,1.2,51.0,Moderate,7.6,52.9,0.0,2.79,151.41,59.9
Central,Bryansk,2015-06-01,21.13,21.24,18.04,25.51,20.22,5.75,,13.77,40.55,1.81,3.07,0.76,70.0,Moderate,8.8,72.2,0.184,2.6,146.64,60.0
Central,Bryansk,2015-07-01,18.05,37.77,16.55,17.59,24.62,3.73,0.89,7.82,50.5,1.17,2.61,0.66,64.0,Moderate,2.2,68.2,0.138,-0.08,153.76,60.0
Central,Bryansk,2015-08-01,19.22,12.52,22.13,13.36,15.1,2.26,0.35,11.08,32.03,1.43,3.21,0.76,66.0,Moderate,4.1,77.5,0.189,5.09,151.83,59.9
Central,Bryansk,2015-09-01,22.51,33.1,11.2,26.54,31.01,4.12,0.44,5.37,62.5,1.61,,1.72,73.0,Moderate,13.0,82.8,0.019,4.52,147.92,59.9
Central,Bryansk,2015-10-01,27.27,60.7,22.04,,17.27,11.48,1.2,13.85,54.65,2.55,6.0,0.98,83.0,Moderate,13.4,84.1,0.124,2.07,150.56,60.1
Central,Bryansk,2015-11-01,18.43,34.24,23.4,48.39,26.27,6.05,1.5,12.42,64.14,0.72,5.46,1.8,64.0,Moderate,15.1,93.5,0.005,3.8,148.64,60.1
Central,Bryansk,2015-12-01,24.27,54.23,28.01,50.44,47.29,11.8,2.03,11.55,98.71,1.81,6.73,2.11,77.0,Moderate,4.5,88.9,0.018,1.23,150.41,60.1
Central,Bryansk,2016-01-01,31.48,53.04,26.45,27.43,34.31,12.15,1.35,20.33,49.08,1.9,8.35,1.37,92.0,Moderate,10.1,82.8,0.08,4.2,147.79,59.9
Central,Bryansk,2016-02-01,36.56,37.63,24.93,29.5,62.19,5.55,0.84,7.41,55.59,3.06,4.46,2.09,104.0,Unhealthy for Sensitive Groups,5.6,72.0,0.32,0.77,154.43,59.9
Central,Bryansk,2016-03-01,23.92,43.08,21.85,16.63,42.78,3.83,1.32,14.25,47.37,2.67,2.21,0.66,76.0,Moderate,9.1,76.8,0.099,2.02,152.91,60.0
Central,Bryansk,2016-04-01,20.41,45.84,11.59,14.97,25.5,4.51,1.03,3.02,28.67,2.15,6.79,0.96,68.0,Moderate,10.2,62.8,0.0,4.03,153.54,59.8
Central,Bryansk,2016-05-01,11.08,32.44,6.69,21.93,22.5,2.28,0.84,5.13,47.37,1.33,3.9,1.01,46.0,Good,11.9,56.2,0.13,2.9,146.52,59.8
Central,Bryansk,2016-06-01,14.83,41.76,7.79,15.96,18.19,3.2,1.19,8.29,56.81,0.85,2.11,0.22,57.0,Moderate,12.9,60.3,0.0,1.85,154.08,59.8
Central,Bryansk,2016-07-01,19.66,42.02,11.14,22.32,34.83,5.73,0.91,7.13,61.7,0.78,2.85,0.28,67.0,Moderate,12.2,58.4,0.096,0.78,144.29,59.7
Central,Bryansk,2016-08-01,19.57,42.8,16.76,22.93,20.7,6.25,0.83,7.61,28.69,1.01,1.46,0.73,67.0,Moderate,9.7,76.1,0.297,1.88,156.25,60.0
Central,Bryansk,2016-09-01,10.84,26.86,19.46,19.34,31.76,8.36,0.36,6.13,60.05,0.97,3.66,1.07,45.0,Good,13.7,76.2,0.0,3.37,150.89,60.0
Central,Bryansk,2016-10-01,16.94,35.54,14.83,,35.26,11.69,0.99,10.38,35.16,1.3,3.07,0.21,61.0,Moderate,4.4,74.7,0.0,3.03,151.54,59.8
Central,Bryansk,2016-11-01,28.72,41.43,15.15,35.39,46.22,10.75,1.16,15.09,48.95,0.83,9.92,0.64,86.0,Moderate,8.1,86.2,0.0,3.89,157.07,59.9
Central,Bryansk,2016-12-01,40.4,68.33,23.3,43.45,26.88,15.33,1.98,8.78,61.52,3.59,10.19,1.01,113.0,Unhealthy for Sensitive Groups,8.7,85.9,0.102,0.85,151.25,60.0
Central,Bryansk,2017-01-01,37.05,68.97,34.11,58.58,37.45,14.98,2.33,24.64,106.04,1.24,4.67,3.29,105.0,Unhealthy for Sensitive Groups,2.3,80.9,0.0,3.78,147.93,60.0
Central,Bryansk,2017-02-01,36.96,58.12,17.88,38.54,39.46,10.49,1.61,8.67,56.61,1.54,10.63,1.8,105.0,Unhealthy for Sensitive Groups,13.7,76.4,0.026,1.99,150.51,59.9
Central,Bryansk,2017-03-01,15.13,41.2,21.45,28.34,40.91,5.34,0.79,8.96,63.93,2.47,5.76,1.08,57.0,Moderate,7.9,70.4,0.17,3.68,148.59,59.9
Central,Bryansk,2017-04-01,13.28,23.31,,17.31,20.62,7.34,0.8,2.79,35.61,1.35,4.58,0.89,53.0,Moderate,17.2,57.2,0.0,1.94,152.03,59.7
Central,Bryansk,2017-05-01,10.77,24.48,20.49,32.0,16.39,3.6,0.44,5.72,57.41,0.49,1.89,1.37,45.0,Good,7.2,57.6,0.0,2.83,154.93,60.0
Central,Bryansk,2017-06-01,10.95,34.02,15.32,17.19,19.06,3.69,0.89,8.57,64.05,1.54,0.68,0.5,46.0,Good,6.4,61.8,0.0,2.39,153.12,59.9
Central,Bryansk,2017-07-01,18.19,23.1,7.14,25.01,11.42,,0.64,13.17,41.0,1.51,3.53,0.13,64.0,Moderate,5.8,75.1,0.03,1.29,153.39,59.9
Central,Bryansk,2017-08-01,8.73,28.94,13.47,25.64,16.46,1.4,0.97,6.66,31.02,1.15,1.07,0.32,36.0,Good,8.9,78.8,0.04,4.37,151.12,59.9
Central,Bryansk,2017-09-01,10.28,40.29,20.25,35.26,41.08,3.91,0.43,1.0,66.22,,1.86,1.69,43.0,Good,5.2,76.6,0.09,3.66,152.84,60.0
Central,Bryansk,2017-10-01,26.57,34.56,22.1,36.54,31.96,7.09,1.02,5.65,81.89,1.38,2.18,0.42,81.0,Moderate,8.5,89.8,0.071,0.81,149.89,59.9
Central,Bryansk,2017-11-01,21.24,28.52,15.43,40.62,52.57,8.84,1.93,9.7,75.08,2.46,6.15,,70.0,Moderate,6.7,87.0,0.074,3.87,159.36,59.9
Central,Bryansk,2017-12-01,20.83,35.22,18.97,,68.15,4.21,0.84,15.35,49.75,2.69,11.54,2.12,69.0,Moderate,5.3,85.4,0.264,2.97,151.68,59.8
Central,Bryansk,2018-01-01,29.4,62.83,16.44,30.28,48.51,5.68,0.79,20.07,43.24,2.69,2.12,2.72,87.0,Moderate,12.1,81.0,0.18,1.87,155.31,59.9
Central,Bryansk,2018-02-01,20.65,30.04,12.27,26.47,33.3,2.82,1.97,19.17,44.74,,,1.5,69.0,Moderate,7.3,74.7,0.118,1.74,150.61,59.9
Central,Bryansk,2018-03-01,15.61,33.79,19.97,19.54,55.12,8.11,0.72,16.66,40.3,2.04,1.61,0.78,58.0,Moderate,12.1,73.7,0.183,1.92,154.28,59.8
Central,Bryansk,2018-04-01,11.11,34.49,21.89,24.41,,6.91,0.55,11.71,28.79,0.7,7.96,1.41,46.0,Good,14.4,65.4,0.018,0.97,152.1,59.6
Central,Bryansk,2018-05-01,18.34,36.38,17.36,19.2,29.01,6.14,1.02,8.25,51.48,,5.3,1.44,64.0,Moderate,5.5,60.7,0.153,3.03,153.65,59.6
Central,Bryansk,2018-06-01,17.61,25.08,11.6,18.3,31.16,1.07,0.56,9.9,24.39,0.73,2.5,0.71,63.0,Moderate,5.9,73.3,0.0,1.21,152.02,59.8
Central,Bryansk,2018-07-01,19.96,26.1,8.65,34.8,27.05,2.68,1.1,11.06,43.84,1.42,3.86,0.28,68.0,Moderate,10.4,69.2,0.137,0.93,150.25,59.8
Central,Bryansk,2018-08-01,9.36,38.31,17.18,14.33,7.3,4.39,0.99,8.12,,0.59,1.45,1.02,39.0,Good,9.2,71.8,0.124,2.17,153.71,59.6
Central,Bryansk,2018-09-01,11.44,16.73,18.57,34.38,23.27,4.78,0.19,13.0,49.8,1.73,4.77,0.44,48.0,Good,5.9,72.4,0.199,1.35,157.69,59.7
Central,Bryansk,2018-10-01,18.17,46.16,27.12,26.71,35.36,7.34,1.37,4.62,89.07,2.53,7.48,1.41,64.0,Moderate,5.9,85.3,0.033,1.18,153.12,59.6
Central,Bryansk,2018-11-01,26.21,43.52,16.4,45.33,38.01,,1.32,20.29,53.49,1.52,11.69,,81.0,Moderate,7.6,84.1,0.0,0.71,154.06,59.7
Central,Bryansk,2018-12-01,30.56,55.74,21.53,57.76,51.59,5.3,0.85,18.44,109.09,,5.03,0.45,90.0,Moderate,14.4,91.7,0.0,3.83,156.3,59.7
Central,Bryansk,2019-01-01,50.67,89.85,19.51,63.77,46.02,6.53,1.08,11.47,100.18,2.26,12.04,2.88,138.0,Unhealthy for Sensitive Groups,10.5,80.5,0.106,0.46,153.28,59.5
Central,Bryansk,2019-02-01,33.38,35.07,26.97,44.26,61.15,10.43,1.59,,98.6,2.49,1.61,2.83,96.0,Moderate,14.6,68.8,0.161,1.57,154.08,59.8
Central,Bryansk,2019-03-01,32.98,67.06,16.05,36.4,52.22,8.37,0.49,12.97,64.4,2.65,5.63,0.99,95.0,Moderate,10.0,71.1,0.067,0.01,152.91,59.6
Central,Bryansk,2019-04-01,19.24,25.24,11.58,17.3,19.54,4.57,0.87,1.34,32.66,0.67,4.31,1.43,66.0,Moderate,9.5,60.4,0.118,4.69,151.38,59.5
Central,Bryansk,2019-05-01,10.87,18.87,7.74,25.84,17.97,6.97,0.93,5.99,21.2,0.47,,0.77,45.0,Good,7.7,56.4,0.092,1.62,152.09,59.5
Central,Bryansk,2019-06-01,14.46,25.41,11.17,9.09,20.07,2.11,0.51,4.54,29.14,0.93,2.55,1.13,56.0,Moderate,5.1,70.1,0.0,2.92,153.81,59.7
Central,Bryansk,2019-07-01,18.93,37.06,6.64,16.91,37.11,0.5,0.73,14.81,58.66,1.27,4.85,1.5,65.0,Moderate,3.8,65.7,0.057,-0.36,154.72,59.8
Central,Bryansk,2019-08-01,15.77,23.19,7.15,19.33,34.86,6.73,0.5,11.39,28.91,0.9,0.75,0.37,59.0,Moderate,5.1,69.4,0.136,0.8,157.94,59.7
Central,Bryansk,2019-09-01,11.56,42.08,13.79,27.22,,5.29,0.61,,48.08,1.97,6.66,1.31,48.0,Good,13.0,75.5,0.149,1.68,156.79,60.0
Central,Bryansk,2019-10-01,19.48,49.42,16.95,18.33,28.58,8.38,1.07,3.29,47.28,0.87,7.04,0.92,67.0,Moderate,7.1,83.9,0.085,1.39,153.6,59.6
Central,Bryansk,2019-11-01,35.17,37.91,24.07,22.49,40.89,7.18,0.84,15.31,45.25,1.61,2.87,2.41,100.0,Moderate,9.8,85.3,0.259,-1.12,158.78,59.9
Central,Bryansk,2019-12-01,33.74,30.93,,42.54,24.94,3.97,0.87,12.34,86.08,1.16,4.15,2.36,97.0,Moderate,7.1,80.9,0.147,3.19,151.11,59.7
Central,Bryansk,2020-01-01,16.24,53.67,22.35,51.73,46.96,10.82,2.04,12.62,90.18,1.98,11.58,1.67,60.0,Moderate,5.8,86.1,0.0,1.78,154.76,59.7
Central,Bryansk,2020-02-01,28.34,64.82,25.07,28.9,35.65,8.18,1.66,16.33,61.74,1.26,4.32,0.5,85.0,Moderate,10.1,86.9,0.111,4.28,152.19,59.8
Central,Bryansk,2020-03-01,14.54,47.89,6.28,33.57,31.34,6.39,1.37,15.18,41.89,0.53,6.91,0.44,56.0,Moderate,10.9,79.9,0.035,1.96,156.12,59.7
Central,Bryansk,2020-04-01,,23.07,10.85,17.34,23.04,4.4,0.46,2.92,27.71,1.06,,0.34,,,18.1,59.6,0.178,2.79,152.17,59.8
Central,Bryansk,2020-05-01,11.63,28.99,11.25,10.33,22.68,4.02,0.21,2.01,40.55,1.43,3.51,0.76,48.0,Good,8.7,59.0,0.095,4.62,152.78,59.8
Central,Bryansk,2020-06-01,11.84,26.8,18.54,13.49,28.1,3.03,0.54,,24.19,0.94,1.65,0.8,49.0,Good,7.8,66.1,0.142,2.36,153.0,59.5
Central,Bryansk,2020-07-01,11.7,39.13,8.63,20.79,18.97,1.25,0.65,5.66,59.3,1.31,4.85,0.81,49.0,Good,6.0,65.2,0.02,1.44,149.93,59.7
Central,Bryansk,2020-08-01,18.65,25.32,9.66,14.03,21.18,7.27,0.49,8.05,25.07,1.19,4.4,0.46,65.0,Moderate,5.5,62.9,0.077,3.23,160.12,59.6
Central,Bryansk,2020-09-01,9.31,40.54,15.19,36.21,19.05,1.49,0.68,5.78,70.41,1.52,4.74,0.13,39.0,Good,11.5,72.6,0.206,1.62,155.54,59.5
Central,Bryansk,2020-10-01,30.57,,,42.62,,10.5,,12.07,69.85,1.33,3.87,1.81,90.0,Moderate,6.2,83.0,0.125,-0.12,157.85,59.5
Central,Bryansk,2020-11-01,34.94,49.98,24.44,32.74,43.15,10.44,0.75,,85.15,2.93,6.48,0.73,99.0,Moderate,4.3,87.5,0.099,2.13,157.97,59.7
Central,Bryansk,2020-12-01,35.94,78.53,26.36,41.74,61.87,13.02,2.2,8.92,102.35,1.71,4.75,2.3,102.0,Unhealthy for Sensitive Groups,11.6,93.2,0.173,0.69,150.9,59.5
Central,Bryansk,2021-01-01,39.3,26.58,13.65,,26.38,7.13,1.08,7.76,86.4,1.94,,0.31,110.0,Unhealthy for Sensitive Groups,5.7,77.1,0.061,2.26,154.48,59.8
Central,Bryansk,2021-02-01,32.38,59.46,,49.49,23.95,10.51,0.76,9.22,39.93,1.28,3.43,0.66,94.0,Moderate,6.5,83.3,0.038,2.11,151.32,59.7
Central,Bryansk,2021-03-01,16.82,17.36,21.49,29.75,34.38,4.15,1.3,10.34,61.61,2.21,5.68,0.87,61.0,Moderate,14.6,63.9,0.221,-0.4,155.17,59.9
Central,Bryansk,2021-04-01,26.41,16.0,9.6,26.2,11.92,4.79,0.91,8.83,37.59,0.62,4.12,1.14,81.0,Moderate,12.8,63.4,0.208,2.04,159.84,59.5
Central,Bryansk,2021-05-01,14.75,28.41,13.16,16.55,13.97,2.56,0.43,6.71,41.94,0.72,3.45,0.66,57.0,Moderate,14.0,54.6,0.0,3.56,151.48,59.6
Central,Bryansk,2021-06-01,16.56,29.68,14.69,27.02,12.49,6.31,1.17,11.83,61.67,1.56,1.01,0.75,60.0,Moderate,9.0,61.5,0.001,2.57,153.65,59.6
Central,Bryansk,2021-07-01,15.33,16.26,12.8,28.29,26.24,8.27,0.76,10.27,45.55,0.95,1.28,0.66,58.0,Moderate,5.4,72.3,0.024,-0.01,152.64,59.5
Central,Bryansk,2021-08-01,17.99,22.89,7.92,16.58,17.25,5.39,0.76,8.89,43.91,0.5,2.87,1.14,63.0,Moderate,9.2,78.6,0.183,1.21,157.27,59.7
Central,Bryansk,2021-09-01,18.32,16.82,22.43,21.71,31.84,4.96,0.38,5.22,67.12,0.73,5.45,0.49,64.0,Moderate,9.8,75.3,0.019,2.82,152.7,59.5
Central,Bryansk,2021-10-01,29.26,52.13,,43.39,20.54,6.48,0.67,12.0,59.46,0.77,1.17,0.96,87.0,Moderate,13.8,74.3,0.115,3.98,156.94,59.5
Central,Bryansk,2021-11-01,14.76,66.69,18.35,,,7.45,1.56,14.35,99.24,2.03,7.44,2.45,57.0,Moderate,5.8,81.7,0.123,2.91,151.8,59.6
Central,Bryansk,2021-12-01,28.49,29.01,17.53,52.5,22.43,11.2,1.11,15.88,105.8,1.45,8.13,1.29,85.0,Moderate,3.4,89.7,0.152,1.53,156.65,59.4
Central,Bryansk,2022-01-01,,79.9,,51.69,57.23,6.42,1.87,20.7,66.77,2.52,10.0,2.88,,,7.1,74.5,0.146,1.72,154.16,59.6
Central,Bryansk,2022-02-01,29.99,,,45.96,19.73,8.46,1.19,17.84,94.77,2.66,3.1,1.84,89.0,Moderate,10.9,75.1,0.085,4.21,153.76,59.6
Central,Bryansk,2022-03-01,14.54,34.94,26.0,,29.67,4.04,1.3,9.21,40.08,,7.45,0.47,56.0,Moderate,5.5,77.2,0.176,1.82,157.7,59.4
Central,Bryansk,2022-04-01,17.94,36.15,15.34,23.49,25.82,6.89,0.74,8.67,59.39,1.54,1.47,1.3,63.0,Moderate,9.5,69.5,0.0,4.34,158.72,59.6
Central,Bryansk,2022-05-01,10.09,15.92,15.31,14.47,33.01,4.73,0.49,4.05,46.87,0.94,5.2,,42.0,Good,10.4,63.0,0.07,2.22,149.76,59.5
Central,Bryansk,2022-06-01,14.61,17.71,12.84,14.1,23.04,4.52,0.73,6.84,36.97,0.73,3.89,1.69,56.0,Moderate,6.1,70.6,0.181,2.61,155.93,59.4
Central,Bryansk,2022-07-01,23.55,41.49,11.36,18.49,15.21,6.42,0.69,4.55,49.66,,4.82,1.17,75.0,Moderate,8.0,78.1,0.127,1.71,156.64,59.6
Central,Bryansk,2022-08-01,19.47,45.86,19.85,14.63,32.94,7.6,0.62,4.95,43.13,0.78,3.22,0.4,66.0,Moderate,10.7,65.1,0.217,4.5,154.41,59.6
Central,Bryansk,2022-09-01,16.37,21.17,17.18,24.47,15.78,7.77,0.77,6.02,40.8,1.22,1.92,0.89,60.0,Moderate,7.3,84.1,0.214,2.99,153.74,59.5
Central,Bryansk,2022-10-01,8.42,28.06,11.09,38.72,39.26,7.69,1.1,,44.52,2.37,5.07,0.38,35.0,Good,14.8,81.2,0.127,1.57,151.56,59.5
Central,Bryansk,2022-11-01,17.05,,31.35,35.17,56.17,3.21,1.0,11.78,48.34,3.04,5.0,0.86,61.0,Moderate,14.3,93.0,0.086,1.26,157.52,59.6
Central,Bryansk,2022-12-01,33.18,50.01,24.75,41.21,66.83,10.94,1.01,20.17,87.83,3.15,5.12,0.66,95.0,Moderate,13.5,82.6,0.187,3.44,155.81,59.5
Central,Bryansk,2023-01-01,24.48,82.51,21.33,29.9,28.75,10.55,2.2,10.75,57.12,,8.0,2.24,77.0,Moderate,8.6,90.5,0.239,-0.22,155.03,59.3
Central,Bryansk,2023-02-01,17.85,32.9,25.58,44.52,24.59,6.31,1.55,10.62,59.22,1.13,8.33,1.87,63.0,Moderate,7.9,73.8,0.111,3.16,158.77,59.9
Central,Bryansk,2023-03-01,14.72,39.0,9.35,,27.55,1.83,1.59,15.02,50.84,2.6,5.77,1.39,57.0,Moderate,8.5,64.0,0.502,1.22,152.13,59.2
Central,Bryansk,2023-04-01,10.97,43.34,22.41,32.22,20.88,2.59,1.16,9.29,60.02,2.01,3.84,1.52,46.0,Good,7.0,61.7,0.037,0.23,152.58,59.6
Central,Bryansk,2023-05-01,17.43,31.95,15.73,23.74,38.14,1.8,0.55,4.97,28.63,0.9,6.36,0.46,62.0,Moderate,15.7,63.8,0.152,1.36,161.68,59.6
Central,Bryansk,2023-06-01,11.41,27.85,18.46,14.79,16.72,2.04,0.31,6.56,65.37,1.22,5.12,0.52,48.0,Good,9.9,71.1,0.123,-1.9,153.61,59.5
Central,Bryansk,2023-07-01,14.31,22.98,9.36,29.69,33.03,7.59,0.88,1.0,31.29,0.45,5.97,1.17,56.0,Moderate,8.8,68.1,0.168,3.73,157.82,59.3
Central,Bryansk,2023-08-01,15.04,29.27,11.12,25.54,44.87,4.66,0.28,8.14,53.47,1.26,4.27,1.3,57.0,Moderate,10.7,85.9,0.047,2.41,158.86,59.4
Central,Bryansk,2023-09-01,13.14,39.2,22.5,35.07,29.94,10.68,0.68,7.87,47.39,1.45,6.3,,53.0,Moderate,10.4,79.7,0.312,2.9,157.52,59.4
Central,Bryansk,2023-10-01,12.83,62.4,14.92,45.86,35.22,6.24,1.03,6.7,72.84,2.92,6.86,1.9,53.0,Moderate,7.8,81.2,0.161,1.48,155.75,59.5
Central,Bryansk,2023-11-01,36.92,37.16,13.79,25.23,41.77,5.76,0.99,11.24,90.48,1.27,2.17,0.6,105.0,Unhealthy for Sensitive Groups,7.0,79.8,0.035,0.32,155.19,59.6
Central,Bryansk,2023-12-01,30.32,55.64,32.8,48.5,54.81,9.79,,9.8,94.97,2.41,7.51,0.3,89.0,Moderate,12.5,86.5,0.282,-2.43,159.55,59.7
Central,Bryansk,2024-01-01,26.57,59.72,20.78,25.15,45.28,15.87,1.61,12.75,123.47,1.65,5.32,0.97,81.0,Moderate,8.4,84.9,0.0,3.9,162.84,59.4
Central,Bryansk,2024-02-01,32.94,57.22,23.87,20.09,38.8,10.41,1.34,20.79,60.66,0.83,2.68,1.53,95.0,Moderate,4.7,66.9,0.121,-2.16,163.76,59.3
Central,Bryansk,2024-03-01,22.45,22.76,14.85,45.61,40.81,7.89,1.27,7.27,36.22,1.95,6.55,1.69,73.0,Moderate,7.5,74.9,0.029,1.02,157.55,59.5
Central,Bryansk,2024-04-01,20.51,57.66,23.82,21.36,17.42,6.3,0.53,11.24,35.71,1.27,6.52,1.44,69.0,Moderate,17.4,64.8,0.081,-0.11,156.84,59.4
Central,Bryansk,2024-05-01,8.57,31.41,8.87,15.79,22.53,5.55,0.93,3.68,32.76,1.26,3.91,0.33,36.0,Good,10.3,64.5,0.256,2.18,160.48,59.3
Central,Bryansk,2024-06-01,13.66,12.94,7.8,16.34,25.48,3.87,,5.95,24.22,0.69,4.38,1.34,54.0,Moderate,11.2,71.8,0.177,0.7,160.91,59.2
Central,Bryansk,2024-07-01,10.88,24.77,11.99,14.96,10.93,5.31,0.56,6.91,41.08,1.18,1.03,0.78,45.0,Good,5.7,70.7,0.0,3.93,155.94,59.2
Central,Bryansk,2024-08-01,11.08,35.35,13.5,19.34,32.71,7.46,0.85,13.18,56.32,0.38,1.62,0.15,46.0,Good,8.7,64.3,0.177,2.88,156.86,59.5
Central,Bryansk,2024-09-01,17.11,20.51,9.34,18.79,25.65,4.81,0.99,4.14,45.72,1.45,5.79,0.59,62.0,Moderate,5.0,72.5,0.137,1.56,155.89,59.4
Central,Bryansk,2024-10-01,16.42,43.38,14.65,17.31,28.05,6.13,0.62,8.85,61.45,1.23,8.39,1.96,60.0,Moderate,11.0,88.1,0.219,2.0,158.34,59.6
Central,Bryansk,2024-11-01,40.79,70.47,11.39,53.88,55.85,6.28,1.14,10.29,44.33,3.02,2.45,1.97,114.0,Unhealthy for Sensitive Groups,13.3,82.9,0.092,3.28,152.77,59.4
Central,Bryansk,2024-12-01,18.15,44.31,,53.75,36.9,7.03,,9.01,87.75,2.17,4.06,2.28,64.0,Moderate,10.3,79.9,0.257,1.72,158.8,59.6
Central,Bryansk,2025-01-01,18.49,71.08,25.95,49.79,27.11,9.32,1.19,10.4,109.96,1.3,6.94,2.64,64.0,Moderate,6.9,79.6,0.082,0.97,163.07,59.4
Central,Bryansk,2025-02-01,18.16,,14.5,17.96,56.56,11.78,1.27,18.11,61.39,2.48,9.33,1.0,64.0,Moderate,6.1,84.5,0.179,1.88,156.91,59.4
Central,Bryansk,2025-03-01,23.73,49.47,8.17,20.28,33.27,4.45,1.09,8.86,40.44,1.21,7.01,1.32,75.0,Moderate,10.9,77.1,0.14,2.43,156.79,59.3
Central,Bryansk,2025-04-01,22.4,28.08,19.59,16.96,26.87,6.72,1.15,,48.23,0.49,2.88,1.08,73.0,Moderate,15.8,65.3,0.273,-0.2,160.1,59.6
Central,Bryansk,2025-05-01,22.49,17.12,10.3,22.82,13.56,,1.02,5.84,18.07,1.78,2.98,0.88,73.0,Moderate,8.0,64.0,0.0,2.22,162.05,59.5
Central,Bryansk,2025-06-01,16.8,15.8,3.17,14.82,31.16,2.29,0.78,3.13,53.63,0.82,3.05,0.76,61.0,Moderate,8.3,72.5,0.0,0.64,161.94,59.5
Central,Bryansk,2025-07-01,21.07,23.15,11.2,26.92,21.34,3.35,0.64,7.55,47.35,1.39,4.28,1.46,70.0,Moderate,11.5,70.8,0.0,1.44,157.56,59.4
